question,answer,category
Dx and Tx of status epilepticus,"Seizure lasting > 5 minutes or > 2 discrete seizures without recovery of consciousness. Causes: AED discontinuation, medication noncompliance. Tx: BZDs, phenytoin (second line), phenobarbital (third line)",Neurology
Treatment of seizures related to eclampsia,"Magnesium sulfate. Side effects: loss of DTRs, dysrhythmia, resp. failure",Neurology
Treatment of seizures related to INH overdose,Vitamin B6/Pyridoxine (1gm per 1gm of INH toxicity),Neurology
Describe the tests for meningismus,"Jolt accentuation: baseline HA ↑ when the patient turns head horizontally 2-3 rotations/sec. Brudzinski’s sign (Bend the brain): flexing the neck causes the hips and knees to flex. Kernig’s sign (extend knees): knees/hips flexed to 90 degrees, knee extension causes pain.",Neurology
What is appropropriate chemoprophylaxis for a healthcare worker exposed to N. meningitidis?,"Rifampin 600mg BID x2d, CTX 250 mg IM x1, Cipro 500 mg PO x1",Neurology
"SSx, Dx and Tx: HSV Encephalitis","SSx: fever + headache + AMS; neuro deficits, psych sx. Dx: CSF with ↑ RBCs and no bacteria, usually focal at temporal lobes (may see hemorrhage on CT). Tx: IV acyclovir.",Neurology
"SSx, Dx and Tx: Neurocysticercosis","Pt will be immigrant from tropical areas, Mexico. Acquired by eating pork containing larval cysts of Taenia solium (tapeworm). SSx: new onset sz in adult. Dx: CT shows multiple ring-enhancing lesions. Tx: Albendazole. Complication: obstructive hydrocephalus",Neurology
What is the most common cause of meningitis in an adult?,Streptococcus pneumoniae,Neurology
CSF findings for viral meningitis,"Opening pressure: normal. WBCs: ↑ (< 300; lymphocyte predominance), protein: ↑ (not typically > 200), glucose: normal, culture: negative",Neurology
CSF findings for bacterial meningitis,"Opening pressure: ↑, WBCs: ↑↑ (>1000; neutrophil predominance), protein: ↑, glucose: ↓, culture: positive",Neurology
CSF findings for fungal meningitis,"Opening pressure: ↑, WBCs: ↑ (but < 500, lymphocyte predominance), protein: ↑↑, glucose: normal to slightly ↓, culture: postive (fungal)",Neurology
Rx for brain abscess,"3rd generation cephalosporin (e.g. CTX) + anaerobic bacterial coverage (e.g. Metronidazole), Neurosurgical consultation.",Neurology
In what direction would you expect nystagmus with normal caloric testing?,"Tests vestibulo-ocular reflex. Intact brainstem elicits nystagmus on test. Direction of movement depends on temperature of H20 used. 'COWS': Cold- Opposite, Warm-Same.",Neurology
"SSx, Dx and Tx: Posterior Reversible Encephalopathy Syndrome (PRES)","SSx: HTN ER w/ neuro sx (headache, AMS, seizures, vision loss); associated with vasogenic edema of the brain, most often in BILATERAL occipital and posterior parietal lobes; associated with preeclampsia/eclampsia. mainly clinical, CT may show edema, MR is more specific. Tx: supportive",Neurology
Dx: Diplopia with lateral gaze,"Internuclear ophthalmoplegia, associated with MS",Neurology
What diseases typically present with ascending vs descending weakness?,"Ascending: GBS, tick paralysis. Descending: Botulism, myasthenia gravis, Miller Fisher variant GBS, Lambert-Eaton myasthenic syndrome.",Neurology
Compare peripheral v. central vertigo,"Peripheral vertigo: sudden onset, short duration, severe intensity, worsened by position, unilateral nystagmus (never vertical; and it is fatiguable), no neuro sx, ± auditory sx; Causes: BPPV, AOM, labrynthitis, Meniere's dz, vestibular neuronitis, trauma. Central vertigo: gradual, constant sx, not positional, mild intensity, nystagmus (multidirectional, non-fatigable, non-inhibited), +neuro findings, no auditory findings; Causes: brainstem, cerebellum; admit",Neurology
"Dx and Tx: woman describing unilateral lower face, electric, shock-like pain, worse with chewing or burshing teeth?",Trigeminal neuralgia. Tx: Carbamazepine.,Neurology
"SSx, Dx and Tx of temporal arteritis","Pt will be woman >50 years old. SSx: monocular vision loss, unilateral headache, jaw claudication. Exam: temporal artery tenderness. Labs: ↑ ESR, ↑ CRP. Tx: temporal artery bx. Tx: high dose steroids ASAP (don’t wait or refer if visual sx). Associated with polymyalgia rheumatica.",Neurology
"SSx, Dx and Tx of Bell's Palsy","CN VII Palsy. SSx: ipsilateral facial weakness (CANNOT wrinkle forehead → indicates peripheral lesion), lip droop/drooling, hyperacusis, retroauricular pain, ipsilateral tongue numbness, loss of taste sensation. Causes: idiopathic, infection (HSV = MCC), trauma, malignancy. Rx: prednisone, eye care. Complication: keratitis (cannot close eyelids). *Note: bilateral palsy: think Lyme, HIV, botulism, infectious mono.*",Neurology
"Recurrent episodes of severe unilateral headaches w/ ipsilateral lacrimation, rhinorrhea, nasal congestion, and conjunctival injection",Cluster headaches. Tx: oxygen via NRB (NC not effective). More common in men in their late 20s early 30s. V1 distribution. Attacks last 45-90 minutes. Happen 1-3x a day. Cluster period is 6-12 wks w/ remission for 12 months. Pt’s may also have Horner’s Syndrome.,Neurology
Who needs a CT head prior to an LP?,1. Evidence of head trauma 2. AMS 3. Seizure 4. Focal neurological deficits 5. Papilledema and 6. Immunocompromised pts,Neurology
"5 yo boy w/ wide based gait, poor tone, horizontal nystagmus. Rapid onset. Happened 2 weeks after a URI.",Acute post infectious cerebellar ataxia. Must rule out other causes of ataxia.,Neurology
Dx and Tx: Transverse myelitis,Dx: Young person with acute or subacute presentation of back pain and rapid progression to sensory loss and then motor loss at a certain transverse level. Typically happens after a viral infection but can be idiopathic. Imaging: MRI. Tx: manage ABCs.,Neurology
Dx and Tx Cerebral Vein Thrombosis,"Typically female gender, promthormbotic states, malginancy, presents w/ headache, seizure, encephalopathy. CT will show DELTA sign (hyperdensity at superior sagittal sinus). Dx: MRV Tx: heparin gtt.",Neurology
Dx and Tx Slit Ventricle Syndrome,"Overdrianage of CSF has occurred after VP shunt placement or revision (usually weeks/months). Headaches are POSITIONAL, worse w/ standing and improve with supine. Tx: NSGY adjusting shunt valve.",Neurology
What is the name of the sign in patient w/ acute stroke symptoms and focal hyperdenisty of MCA on noncontrast CT?,Dense MCA sign,Neurology
Infectious Diseases Bizz,Dx and Tx: Fish tank granuloma,Infectious Disease
"Mycobacterium marinum, Tx: Clarithromycin + Ethambutol OR Rifampin",Dx: Rose thorn injury and rash,Infectious Disease
Sporothrix schenckii. Tx: Itraconazole (amphotericin B if systemic),Dx and Tx: Dog and cat bite with rapid infection,Infectious Disease
Pasteurella multocida. Tx: Amoxicillin-Clavulanate (augmentin —> “dog-mentin”),Dx: Reptile bites and infection,Infectious Disease
Dx: Sickle cell disease and joint pain,Salmonella osteomyelitis,Infectious Disease
Dx: Cat scratch fever,Bartonella henselae. Tx: doxy; azithromycin in pregnancy,Infectious Disease
Dx and Tx: Human bite and infection,Eikenella corrodens. Tx: amoxicillin-clavulanate,Infectious Disease
Dx: Gastroenteris on a cruise ship,Norwalk virus,Infectious Disease
Dx: Gastroenteritis at a daycare,"Rotavirus, (remember, there is a vaccine now).",Infectious Disease
Compare general Dx and Tx of toxin-mediated vs. invasive bacterial diarrheal illness,"Toxin: abrupt onset, watery, non-bloody; Tx IVF, ± loperamide, ± Cipro (prolonged/severe ssx). Invasive: gradual onset, bloody, systemic sx; Rx: IVF, ± Cipro UNLESS kids or elderly patients with possible E. coli O157:H7 (can increase risk of HUS)",Infectious Disease
Dx: Watery diarrhea + eggs/mayo,Staph. aureus (toxin),Infectious Disease
Dx: Watery diarrhea + fried rice,Bacillus cereus (toxin),Infectious Disease
Dx and Tx: Diarrhea + flatulence + recent hiking and drinkinsg from a fresh water stream,"Giardia lamblia. Parasitic infection. Test for it w/ a stool antigen (not ova and parasite). Tx: Metronidazole / tinidazole. People who are risk: hikers, children at daycare, and oral-anal sexual conduct.",Infectious Disease
Dx: Watery diarrhea + travel,"Enterotoxgenic E. coli (toxin); if no blood in diarrhea, give 1 dose of Cipro 750mg. If pt traveled to southeast asia this is likely campylobacter and give 1,000mg of azithromycin,",Infectious Disease
Dx: Watery diarrhea + meat/poultry,Clostridium perfringens (toxin),Infectious Disease
"SSx, Dx, Tx: Watery diarrhea + dark meat fish + rash/itching","Scombroid (histamine fish toxicity). Dark fleshed, peppery tasting fish: tuna, mahi-mahi, mackerel. Excess histidine on fish broken down by bacteria to histamine. SSx: Histamine ingestion leads to anxiety, flushing, headache, palpitations, vomiting. Tx: antihistamines",Infectious Disease
Dx: Watery diarrhea + carnivorous fish + neuro ssx,Ciguatera (toxin causes neuro ssx) - “hot cold reversal”,Infectious Disease
Dx: Bloody diarrhea + undercooked eggs/chicken + relative bradycardia,"Salmonella typhi (invasive), cafeteria outbreaks, classically with high fever and relative bradycardia; can cause osteomyelitis in sickle cell patients.",Infectious Disease
Dx: Bloody diarrhea (severe) + high fever + institutionalized,Shigella (invasive); can cause seizures in kids,Infectious Disease
Dx and Tx: Bloody diarrhea + followed by weakness,Campylobacter (invasive). Associated: appendicitis mimic & GuillainBarré; Tx: Azithro/Erythro (resistance to cipro),Infectious Disease
Dx: Bloody diarrhea + farm animals + appendicitis ssx,Yersinia (invasive); pseudoappendicitis (appy mimic) can cause terminal ileitis,Infectious Disease
Dx: Bloody diarrhea + undercooked seafood + alcoholic who gets very sick,Vibrio parahaemolyticus (invasive),Infectious Disease
Dx: Bloody diarrhea + poorly cooked ground beef/raw milk,"E. coli O157:H7, associated with TTP (adults) and HUS (kids); NO ANTIBIOTICS",Infectious Disease
Dx: Rice-water stools + contaminated water,Vibrio cholerae (toxin). Oral rehydration tablets.,Infectious Disease
Dx and Tx: Profuse diarrhea after recent antibiotics,Clostridium difficile (invasive). Tx: PO vanco is first line now,Infectious Disease
Dx: Diarrhea + AKI ± low platelets,E. coli O157:H7 causing TTP/HUS,Infectious Disease
Dx: Food-borne illness associated with premature delivery in pregnant patients,Listeria monocytogenes,Infectious Disease
What is the most common cause of bacterial diarrhea in the US?,Salmonella; 2nd Campylobacter,Infectious Disease
What factors on hx prompt you to get stools studies for patients w/ diarrhea?,1. Fever > 38.5C 2. Symptoms for greater than 1 week 3. Concerns for C.diff 4. Immunocompromised or advanced age 5. Underlaying IBD.,Infectious Disease
"SSx, Dx and Tx: Botulism","Paralytic illness. Cause: Clostridium botulinum neurotoxins → blocks ACh release at neuromuscular junction → flaccid paralysis. Forms: food borne (canned foods, honey), wound, infantile (most common). SSx: floppy baby, constipation, weak cry (infants); CN/bulbar sx, dilated pupils (differentiates from myasthenia), symmetric, descending flaccid parlaysis / weakness (MC finding), parasympathetic blockade (dry mouth/sore throat, urinary retention). Tx: supportive care, resp. monitoring (resp. failure = MCC death), antitoxin (Rx infants: BabyBIG, Rx age>1: antoxin, abx (for wounds)",Infectious Disease
Leading cause of infertility?,Chlamydia trachomatis,Infectious Disease
Dx and Tx: Painless vesicular lesions or ulcers to groin + buboes (huge LNs),"Lymphogranuloma venereum (LGV). Chlamydia trachomatis. Tx: Doxy or Azithro (and treat partners), drain abscesses",Infectious Disease
Dx and Tx: Painful ulcer with irregular borders to groin + buboes (huge LNs),"Chancroid. Haemophilus ducreyi. SSx: looks like syphillis but the lesion is painful. Tx: CTX, Azithro or cipro (ANY one), drain abscesses",Infectious Disease
Dx: Neonate with copious purulent discharge from eyes,Neisseria gonorrhoeae conjunctivitis. Tx: systemic cefotaxmine. Topical tx not enough.,Infectious Disease
Review the timing of the various causes for neonatal conjunctivitis,Chemical: first 24 hours. Gonococcal: first 2-5 days. Chlamydial: 5 days to 2 weeks.,Infectious Disease
Tx for neonatal chlamydial conjunctivas?,Systemic tx with azithromycin or erythromycin. Pt’s must be admitted to look for pneumonia as well.,Infectious Disease
"Dx: ""Gunmetal grey"" pustules to hands/skin, septic arthritis ± tenosynovitis",Disseminated gonococcus. Arthritis-dermatitis syndrome. Gramnegative intracellular diplococci. Tx: IV ceftriaxone,Infectious Disease
Dx: Contact with armadillos,Leprosy. Mycobacterium leprae. Tx: dapsone + rifampin (+clofazimine for lepromatous disease),Infectious Disease
Dx and Tx: Contact with prairie dogs,"Bubonic plague. Yersinia pestis. Tx: streptomycin, tetracycline, doxycycline (alt. fluoroquinolones)",Infectious Disease
Dx and Tx: HIV + Lung Disease + Pancytopenia,Mycobacterium avium intracellulare (MAI). CD4 < 50. Tx: Rifampin + Ethambutol + Azithro/Erythro,Infectious Disease
Dx and Tx: Primary tuberculosis,Mycobacterium tuberculosis. Transmission via inhalation of droplets. SSx: often asymptomatic. Can progress to latent or reactivation TB. Tx: Isoniazid (INH) + Pridoxine (Vit B6) x9mo.,Infectious Disease
Most common CXR finding in primary TB?,"Most common overall: a single lobar infiltrate associated w/ hilar adenopathy / children: pronounced hilar adenopathy / elderly: isolated pleural effusion. Ghon complex: calcified lung lesion, ± calcified LNs [a.k.a. Ranke complex] representing HEALED infection. Immunocompromised pts often cannot form a Ghon complex.",Infectious Disease
"SSx, Dx and Tx: Reactivation TB","SSx: often occurs if immunocompromised, other stressor; cough, fever, night sweats, weight loss, hemoptysis. Dx: XR with upper lobe apical lesions ± cavitation. Dx: MTB culture/PCR of sputum (takes weeks), AFB smear (suggestive but not diagnostic, need culture to confirm). Tx: RIPE (Rifampin, Isoniazid, Pyrazinamide, Ethambutol), **respiratory isolation** (airborne precautions), test/treat contacts",Infectious Disease
